YEAR,WAVE,SUB_REG,ST,SP_CODE,MODE_FX,AREA_X,ESTCLAIM,ESTCLVAR,ESTHARV,ESTHVAR,LANDING,LAND_VAR,ESTREL,ESTRLVAR,TOT_CAT,TOT_VAR,LBS_AB1,VAR_LBS,WGT_AB1,VAR_WAB1,MISS_FISH,ALT_FLAG,MODE,AREA,STATUS,DOWNLOAD
1991,5,6,37,8835250101,3,1,243538.4221,5130388868,101744.7758,2291273714,345283.1979,10827750129,68380.3969,605702403.7,413663.5948,12896541769,443466.1023,27086450458,201154.9044,5573044239,0,0,SHORE,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,5,6,37,8835250101,3,5,4857.04983,21138548.05,49883.21447,2229661314,54740.2643,2684997065,3343.942805,10082152.01,58084.20711,2693468830,66681.62163,3984211100,30246.58516,819752472,0,0,SHORE,INLAND,FINAL,18APR2021:16:20:59
1991,5,6,37,8835250101,5,1,2069.280172,2285817.319,46.40154806,1267.092602,2115.68172,2302424.525,0,0,2115.68172,2302424.525,1602.066787,1098721.689,726.6927276,226062.2737,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,5,6,37,8835250101,5,2,1039.487644,710276.8371,0,0,1039.487644,710276.8371,577.6082179,207721.6389,1617.095862,1113450.571,3780.130749,11120954.41,1714.65606,2288139.268,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:20:59
1991,5,6,37,8835250101,5,5,123.7915093,10814.60096,1044.439426,914953.8762,1168.230935,1005201.329,131.5146624,14507.11439,1299.745597,1260130.509,1931.457137,2817681.731,876.1032102,579738.7503,0,0,CHARTER BOAT,INLAND,FINAL,18APR2021:16:20:59
1991,5,6,37,8835250101,7,1,61167.05696,503290754.8,267.6081167,67086.9494,61434.66508,511298463.1,16094.23921,43782404.67,77528.90429,699173630,95700.72155,1488061844,43409.56253,306169112.2,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,5,6,37,8835250101,7,2,0,0,0,0,0,0,198.6908707,39915.97736,198.6908707,39915.97736,0,0,0,0,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:20:59
1991,5,6,37,8835250101,7,5,96059.03271,653035460.3,575.1722286,331624.3308,96634.20494,657535407.8,104618.172,2378790872,201252.3769,4319057135,122059.6147,1532355287,55365.87804,315282499.5,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,18APR2021:16:20:59
1991,6,6,37,8835250101,3,1,139617.1544,2946161260,89335.36034,1085953641,228952.5147,6773232144,558848.7304,37248100329,787801.245,67744387470,1707142.526,9.25538E+11,774354.7698,1.9043E+11,0,0,SHORE,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,6,6,37,8835250101,5,1,3646.944734,12567687.62,0,0,3646.944734,12567687.62,3476.534631,11424220.4,7123.479364,47956398.82,47259.32325,2110484648,21436.6884,434232766.3,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,18APR2021:16:20:59
1991,6,6,37,8835250101,5,2,1411.400957,2021741.119,0,0,1411.400957,2021741.119,1512.323936,2238974.48,2923.724892,8505776.517,18130.10771,333599581.7,8223.762907,68638200.84,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,18APR2021:16:20:59
